tranco_id,domain,categories,trust,status_code,crux_code,main_category
1,google.com,Email Sender|Search Engines,Minimal Risk,200,200,Web Infrastructure
3,microsoft.com,Business|Email Sender|Software/Hardware,Minimal Risk,301,200,Business & Finance
4,facebook.com,Email Sender|Social Networking,Minimal Risk,200,200,Social & Communication
5,cloudflare.com,Internet Services|Web Hosting,Minimal Risk,200,200,Technology
8,youtube.com,Email Sender|Media Sharing|Streaming Media,Minimal Risk,302,200,News & Media
9,apple.com,Business|Email Sender|Software/Hardware,Minimal Risk,200,200,Business & Finance
11,instagram.com,Email Sender|Social Networking,Minimal Risk,200,200,Social & Communication
13,gstatic.com,Content Server|Internet Services,Minimal Risk,301,200,Technology
15,twitter.com,Blogs/Wikis|Social Networking,Minimal Risk,301,200,Social & Communication
16,office.com,Business|Software/Hardware,Minimal Risk,200,200,Business & Finance
18,linkedin.com,Email Sender|Professional Networking,Minimal Risk,200,200,Social & Communication
21,amazon.com,Email Sender|Shopping/Merchandizing,Minimal Risk,202,200,E-commerce
28,wikipedia.org,Blogs/Wikis|Education/Reference,Minimal Risk,200,200,Education
31,github.com,Email Sender|Technical/Business Forums,Minimal Risk,200,200,Technology
33,netflix.com,Email Sender|Entertainment/Recreation/Hobbies,Minimal Risk,301,200,Entertainment
36,bing.com,Search Engines,Minimal Risk,200,200,Web Infrastructure
38,digicert.com,Software/Hardware,Minimal Risk,200,200,Technology
40,wordpress.org,Software/Hardware,Minimal Risk,200,200,Technology
47,pinterest.com,Blogs/Wikis|Email Sender|Social Networking,Minimal Risk,200,200,Social & Communication
50,icloud.com,Interactive Web Applications|Personal Network Storage|Web Mail,Minimal Risk,200,200,Social & Communication
51,yahoo.com,Portal Sites,Minimal Risk,200,200,Web Infrastructure
53,whatsapp.com,Instant Messaging,Minimal Risk,200,200,Social & Communication
59,x.com,Blogs/Wikis|Email Sender|Social Networking,Minimal Risk,200,200,Social & Communication
63,msn.com,Portal Sites,Minimal Risk,301,200,Web Infrastructure
64,spotify.com,Email Sender|Media Downloads|Streaming Media,Minimal Risk,301,200,News & Media
66,tiktok.com,Email Sender|Social Networking,Minimal Risk,301,200,Social & Communication
67,gandi.net,Internet Services|Web Hosting,Minimal Risk,301,200,Technology
69,vimeo.com,Media Sharing|Streaming Media,Minimal Risk,200,200,News & Media
70,adobe.com,Business|Email Sender|Software/Hardware,Minimal Risk,200,200,Business & Finance
71,roblox.com,Email Sender|Games,Minimal Risk,200,200,Entertainment
79,qq.com,Portal Sites,Minimal Risk,200,200,Web Infrastructure
80,wa.me,Instant Messaging,Minimal Risk,302,200,Social & Communication
81,nginx.org,Internet Services,Minimal Risk,200,200,Technology
83,zoom.us,Email Sender|Web Meetings,Minimal Risk,301,200,Social & Communication
84,samsung.com,Business|Email Sender,Minimal Risk,301,200,Business & Finance
87,behindmlm.com,Blogs/Wikis,Minimal Risk,200,200,Social & Communication
91,opera.com,Software/Hardware,Minimal Risk,200,200,Technology
92,bit.ly,Internet Services|Web Hosting,Minimal Risk,302,200,Technology
95,wordpress.com,Blogs/Wikis,Minimal Risk,200,200,Social & Communication
98,ui.com,Email Sender|Marketing/Merchandising,Minimal Risk,200,200,E-commerce
103,mozilla.org,Email Sender|Software/Hardware,Minimal Risk,200,200,Technology
106,sentry.io,Business|Software/Hardware,Minimal Risk,302,200,Business & Finance
107,reddit.com,Forum/Bulletin Boards,Minimal Risk,200,200,Social & Communication
113,epicgames.com,Email Sender|Games,Minimal Risk,301,200,Entertainment
114,europa.eu,Email Sender|Government/Military,Minimal Risk,301,200,Government
115,t.me,Instant Messaging,Minimal Risk,302,200,Social & Communication
119,criteo.com,Business,Minimal Risk,200,200,Business & Finance
120,snapchat.com,Chat|Email Sender|Social Networking,Minimal Risk,200,200,Social & Communication
122,f5.com,Business|Software/Hardware,Minimal Risk,200,200,Business & Finance
123,dns.google,Internet Services,Minimal Risk,200,200,Technology
126,apache.org,Software/Hardware,Minimal Risk,200,200,Technology
127,dropbox.com,Email Sender|Personal Network Storage,Minimal Risk,200,200,Web Infrastructure
129,gravatar.com,Internet Services,Minimal Risk,200,200,Technology
130,intuit.com,Email Sender|Internet Services,Minimal Risk,200,200,Technology
140,nist.gov,Government/Military,Minimal Risk,200,200,Government
143,nih.gov,Email Sender|Government/Military|Health,Minimal Risk,200,200,Government
144,applovin.com,Business,Minimal Risk,307,200,Business & Finance
148,archive.org,Internet Services,Minimal Risk,200,200,Technology
151,tumblr.com,Blogs/Wikis|Email Sender|Social Networking,Minimal Risk,200,200,Social & Communication
160,nytimes.com,Email Sender|General News,Minimal Risk,200,200,News & Media
163,paypal.com,Email Sender|Financial Institutions,Minimal Risk,301,200,Business & Finance
164,shopify.com,Internet Services,Minimal Risk,200,200,Technology
169,flickr.com,Media Sharing,Minimal Risk,200,200,News & Media
170,discord.com,Email Sender|Instant Messaging|Web Phone,Minimal Risk,200,200,Social & Communication
175,godaddy.com,Email Sender|Internet Services,Minimal Risk,301,200,Technology
177,pubmatic.com,Internet Services,Minimal Risk,200,200,Technology
180,soundcloud.com,Email Sender|Professional Networking|Streaming Media,Minimal Risk,200,200,News & Media
182,telekom.de,Internet Services,Minimal Risk,301,200,Technology
183,w3.org,Internet Services,Minimal Risk,200,200,Technology
184,cnn.com,Email Sender|General News,Minimal Risk,301,200,News & Media
186,taboola.com,Business|Software/Hardware,Minimal Risk,200,200,Business & Finance
191,theguardian.com,Email Sender|General News,Minimal Risk,301,200,News & Media
194,avast.com,Business|Email Sender|Software/Hardware,Minimal Risk,301,200,Business & Finance
195,example.com,Technical Information,Minimal Risk,200,200,Technology
201,salesforce.com,Business|Software/Hardware,Minimal Risk,301,200,Business & Finance
202,creativecommons.org,NonProfit Organizations/Advocacy Groups,Minimal Risk,200,200,Nonprofit & Religion
203,forbes.com,Email Sender|Financial Information|General News,Minimal Risk,200,200,News & Media
205,t.co,Internet Services|,Minimal Risk,200,200,Technology
206,twitch.tv,Games|Streaming Media,Minimal Risk,200,200,News & Media
210,webex.com,Web Meetings,Minimal Risk,200,200,Social & Communication
211,bbc.com,Email Sender|General News,Minimal Risk,200,200,News & Media
212,bbc.co.uk,Email Sender|General News,Minimal Risk,200,200,News & Media
213,booking.com,Email Sender|Travel,Minimal Risk,202,200,Lifestyle
216,android.com,Software/Hardware,Minimal Risk,200,200,Technology
219,sciencedirect.com,Education/Reference,Minimal Risk,301,200,Education
222,oracle.com,Business|Software/Hardware,Minimal Risk,301,200,Business & Finance
223,inmobi.com,Web Ads,Minimal Risk,200,200,Web Infrastructure
224,ubuntu.com,Software/Hardware,Minimal Risk,200,200,Technology
226,researchgate.net,Professional Networking,Minimal Risk,301,200,Social & Communication
227,mit.edu,Education/Reference|Email Sender,Minimal Risk,200,200,Education
228,canva.com,Email Sender|Interactive Web Applications,Minimal Risk,301,200,Technology
229,cpanel.net,Business|Internet Services,Minimal Risk,200,200,Business & Finance
230,roku.com,Email Sender|Entertainment/Recreation/Hobbies,Minimal Risk,301,200,Entertainment
231,ebay.com,Auction|Email Sender,Minimal Risk,200,200,E-commerce
232,doi.org,NonProfit Organizations/Advocacy Groups,Minimal Risk,200,200,Nonprofit & Religion
233,imdb.com,Email Sender|Entertainment/Recreation/Hobbies,Minimal Risk,200,200,Entertainment
236,weather.com,Consumer Information|Email Sender,Minimal Risk,302,200,Lifestyle
238,gmail.com,Web Mail,Minimal Risk,301,200,Social & Communication
240,cisco.com,Business|Software/Hardware,Minimal Risk,200,200,Business & Finance
242,doubleverify.com,Internet Services,Minimal Risk,200,200,Technology
243,oxylabs.io,Internet Services,Minimal Risk,200,200,Technology
251,hubspot.com,Marketing/Merchandising,Minimal Risk,200,200,E-commerce
252,who.int,Email Sender|Government/Military|Health,Minimal Risk,200,200,Government
254,linktr.ee,Internet Services,Minimal Risk,200,200,Technology
260,hp.com,Business|Email Sender|Software/Hardware,Minimal Risk,302,200,Business & Finance
261,launchpad.net,Technical/Business Forums,Minimal Risk,200,200,Technology
263,harvard.edu,Education/Reference|Email Sender,Minimal Risk,200,200,Education
273,mi.com,Software/Hardware,Minimal Risk,301,200,Technology
274,stripe.com,Business,Minimal Risk,200,200,Business & Finance
275,opendns.com,Business,Minimal Risk,200,200,Business & Finance
277,tinyurl.com,Internet Services|Web Hosting,Minimal Risk,200,200,Technology
278,appsflyer.com,Business,Minimal Risk,200,200,Business & Finance
279,wikimedia.org,Blogs/Wikis|Education/Reference,Minimal Risk,200,200,Education
281,amazon.co.uk,Email Sender|Shopping/Merchandizing,Minimal Risk,202,200,E-commerce
286,ibm.com,Business|Software/Hardware,Minimal Risk,301,200,Business & Finance
289,ea.com,Email Sender|Games,Minimal Risk,200,200,Entertainment
291,alibaba.com,Business|Email Sender,Minimal Risk,200,200,Business & Finance
294,dropcatch.com,Auction|Marketing/Merchandising,Minimal Risk,200,200,E-commerce
295,reuters.com,General News,Minimal Risk,301,200,News & Media
301,media.net,Web Ads,Minimal Risk,200,200,Web Infrastructure
303,springer.com,Business,Minimal Risk,301,200,Business & Finance
304,wiley.com,Education/Reference,Minimal Risk,301,200,Education
307,php.net,Technical Information,Minimal Risk,200,200,Technology
313,issuu.com,Interactive Web Applications|Media Sharing,Minimal Risk,200,200,News & Media
314,debian.org,Business|Software/Hardware,Minimal Risk,200,200,Business & Finance
316,nature.com,Education/Reference|Email Sender,Minimal Risk,301,200,Education
317,etsy.com,Email Sender|Shopping/Merchandizing,Minimal Risk,301,200,E-commerce
320,prudential.com,Email Sender|Financial Institutions,Minimal Risk,302,200,Business & Finance
321,tradingview.com,Email Sender|Stock Trading,Minimal Risk,200,200,Business & Finance
323,weebly.com,Email Sender|Internet Services|Personal Pages|Web Hosting,Minimal Risk,200,200,Technology
325,weibo.com,Blogs/Wikis|Social Networking,Minimal Risk,302,200,Social & Communication
329,slack.com,Interactive Web Applications|Personal Network Storage,Minimal Risk,200,200,Technology
331,cdc.gov,Email Sender|Government/Military|Health,Minimal Risk,200,200,Government
332,washingtonpost.com,Email Sender|General News,Minimal Risk,200,200,News & Media
339,slideshare.net,Interactive Web Applications|Personal Network Storage,Minimal Risk,200,200,Technology
340,cornell.edu,Education/Reference|Email Sender,Minimal Risk,200,200,Education
